site,meters_from_at01
at01,0
at02,831.099
at03,1455.847
at05,3706.22
at06,5184.823
at07,6605.079
at08,7108.352
at09,7609.658
at28,8546.333
at10,9194.955
at11,11140.391
at13,14556.156
at14,15854.042
at15,16708.787
at16,17408.424
at17,18331.87
at18,19701.621
at19,20953.053
at20,22461.237
at21,24092.76
at21b,24243.557
at22,26087.979
at23,28633.818
at24,31000.953
at24b,31075.311
at30,31383.405
at25,32447.044
at26,33370.037
at26/b,33422.792
at29,34816.104
at27,34882.025
at37,34938.036
at31,34962.539
