geom1,geom2,segment_meters.start_point_at25.end_point_hagensborg
291196.33,5806141.822,
291118.043,5806108.271,85.162
291022.981,5806119.455,95.705
290911.143,5806147.414,115.264
290816.081,5806192.149,105.048
290754.57,5806303.987,127.62
290748.979,5806488.52,184.592
290793.714,5806583.582,105.048
290771.346,5806639.501,60.218
290793.714,5806695.42,60.218
290743.387,5806751.339,75.221
290737.795,5806824.033,72.899
290659.508,5806846.401,81.408
290620.365,5806790.482,68.248
290575.63,5806728.971,76.047
290497.343,5806701.012,83.118
290307.219,5806667.46,193.035
290228.933,5806728.971,99.547
290206.565,5806807.258,81.408
290234.525,5806924.687,120.695
290234.525,5807148.363,223.644
290245.708,5807271.384,123.512
290212.157,5807372.039,106.084
290077.952,5807349.671,136.037
290033.217,5807282.568,80.636
289882.235,5807304.936,152.607
289820.725,5807383.222,99.547
289775.99,5807416.774,55.911
289736.846,5807372.039,59.434
289720.071,5807321.712,53.042
289585.865,5807321.712,134.186
289501.987,5807316.12,84.052
289451.66,5807399.998,97.804
289345.414,5807394.406,106.378
289278.311,5807495.06,120.954
289289.495,5807590.122,95.704
289233.576,5807707.552,130.045
289093.779,5807813.798,175.563
288926.022,5807897.676,187.53
288830.96,5807925.636,99.074
288808.592,5807953.595,35.8
288819.776,5808003.922,51.547
288719.122,5808098.984,138.428
288674.387,5808216.414,125.644
288652.019,5808372.987,158.139
288596.1,5808428.906,79.07
288473.079,5808451.274,125.02
288372.425,5808412.13,107.981
288338.873,5808356.211,65.202
288299.73,5808300.292,68.247
288137.565,5808300.292,162.14
288076.055,5808345.028,76.046
287992.176,5808417.722,110.979
287992.176,5808496.009,78.275
287925.074,5808518.376,70.722
287768.501,5808445.682,172.599
287634.295,5808428.906,135.229
287472.13,5808540.744,196.96
287343.517,5808719.684,220.332
287282.006,5808831.522,127.617
287259.638,5808988.095,158.138
287321.149,5809172.628,194.484
287365.884,5809228.546,71.6
287449.763,5809441.038,228.412
287421.803,5809631.163,192.139
287287.598,5809821.287,232.683
286896.166,5809888.39,397.08
286756.368,5809916.349,142.543
286638.939,5810061.738,186.86
286750.776,5810207.127,183.399
286806.695,5810324.557,130.044
286862.614,5810570.6,252.278
286980.044,5810743.949,209.346
287008.003,5810794.276,57.563
286225.139,5811331.098,949.088
286007.055,5811700.162,428.614
285906.401,5811867.919,195.605
285755.42,5811867.919,150.956
285604.439,5811862.327,151.06
285313.66,5812169.881,423.181
285291.293,5812309.679,141.552
285363.987,5812399.149,115.261
285565.295,5812404.741,201.353
285710.685,5812488.619,167.822
285654.766,5812661.968,182.115
285464.641,5812650.784,190.422
285252.149,5812606.049,217.114
285084.393,5812471.843,214.798
284883.085,5812326.454,248.279
284737.695,5812382.373,155.746
284469.285,5812415.924,270.454
284346.263,5812404.741,123.508
284245.609,5812695.519,307.654
284240.017,5812790.581,95.21
284284.752,5812880.051,100.014
284234.425,5813075.768,202.049
284212.058,5813165.238,92.208
284128.179,5813187.605,86.795
284184.098,5813098.135,105.489
284144.955,5813070.176,48.095
284077.852,5813198.789,145.041
283999.566,5813321.811,145.794
283831.809,5813321.811,167.728
283736.747,5813277.076,105.044
283664.052,5813126.095,167.541
283580.174,5812975.114,172.686
283356.498,5812902.419,235.151
282959.474,5812818.541,405.716
282691.063,5812784.989,270.451
282556.858,5812863.276,155.342
282400.285,5812857.684,156.644
281841.096,5813109.319,613.087
281656.563,5813299.443,264.903
281349.009,5813528.711,383.534
281253.947,5813813.897,300.557
281237.172,5813931.327,118.6
280924.026,5814210.922,419.723
280599.696,5814339.535,348.834
280364.837,5814462.557,265.078
280180.304,5814574.394,215.736
280252.999,5814775.703,213.99
280163.528,5814837.213,108.554
280029.323,5814831.621,134.296
279928.669,5814826.03,100.79
279783.28,5814859.581,149.181
279626.707,5814842.805,157.438
279492.501,5814814.846,137.06
279240.866,5814775.703,254.611
279129.029,5814837.213,127.612
279089.885,5814775.703,72.895
279056.334,5814887.54,116.739
279050.742,5814993.786,106.372
279050.742,5815127.992,134.179
278961.272,5815178.319,102.633
278843.842,5815167.135,117.937
278715.229,5815200.686,132.891
278603.391,5815256.605,125.013
278485.961,5815256.605,117.406
278402.083,5815195.094,103.994
278307.021,5815111.216,126.751
277932.364,5815088.848,375.247
277842.894,5815072.073,91.011
277714.28,5815060.889,129.072
277759.015,5814999.378,76.042
277675.137,5815021.746,86.792
277635.994,5815066.481,59.43
277518.564,5815116.808,127.733
277451.461,5815223.054,125.636
277345.215,5815256.605,111.394
277255.745,5815234.238,92.205
277166.275,5815055.297,200.02
277087.988,5814954.643,127.488
276987.334,5814915.5,107.975
276813.986,5814865.173,180.468
276685.372,5814820.438,136.143
276523.207,5814725.376,187.934
276422.553,5814680.64,110.124
276439.329,5814619.13,63.744
276321.899,5814596.762,119.515
276142.959,5814529.659,191.068
276092.632,5814462.557,83.86
276031.121,5814451.373,62.506
275896.915,5814356.311,164.427
275611.729,5814294.8,291.681
275169.97,5814529.659,500.201
274918.334,5814725.376,318.716
274689.067,5815066.481,410.903
274526.902,5815306.932,289.96
274303.226,5815469.097,276.214
274174.613,5815558.567,156.637
